serial,player_name,club,position,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_complted,freekicks_taken,match_played,avrg
1,Erokhin,Zenit,Midfielder,98,27,26,0,2,0,0,6,58.8
2,Eric García,Barcelona,Defender,97.5,203,197,0,0,0,1,4,58.5
3,Ulreich,Bayern,Goalkeeper,97,32,31,0,0,0,1,1,58.2
4,Rugani,Juventus,Defender,96.8,130,122,0,0,0,0,4,58.08
5,J. Timber,Ajax,Midfielder,95.8,497,474,0,1,0,14,8,57.48
6,Egan-Riley,Man. City,Defender,95,61,58,0,1,0,0,1,57
6,Mario Gaspar,Villarreal,Defender,95,32,29,0,1,0,1,2,57
8,Marlon,Shakhtar Donetsk,Defender,94.8,424,402,0,0,0,8,5,56.88
9,Süle,Bayern,Defender,94.7,429,413,0,2,0,9,7,56.82
9,Laporte,Man. City,Defender,94.7,707,672,0,0,0,10,9,56.82
11,Maycon,Shakhtar Donetsk,Midfielder,94.5,395,373,58,12,7,9,6,79.9
11,Nianzou,Bayern,Midfielder,94.5,199,192,0,0,0,5,4,56.7
13,Marcos Antônio,Shakhtar Donetsk,Midfielder,94.4,234,224,0,0,0,5,5,56.64
13,Stones,Man. City,Defender,94.4,545,523,0,1,0,8,8,56.64
15,Stepanenko,Shakhtar Donetsk,Midfielder,94.3,146,137,0,1,0,4,4,56.58
16,Rodri,Man. City,Midfielder,94.2,806,760,0,1,0,13,10,56.52
16,Matip,Liverpool,Defender,94.2,498,467,0,0,0,14,7,56.52
18,Martínez,Ajax,Defender,94.1,674,633,0,0,0,12,8,56.46
19,Arthur,Juventus,Midfielder,94,293,278,50,2,1,7,6,76.4
19,Bondar,Shakhtar Donetsk,Defender,94,105,99,0,0,0,3,1,56.4
19,Fábio Cardoso,Porto,Defender,94,39,36,0,0,0,2,2,56.4
19,Shabanov,Dynamo Kyiv,Defender,94,35,33,0,0,0,0,1,56.4
23,Paredes,Paris,Midfielder,93.8,315,298,0,0,0,10,5,56.28
24,Lindelöf,Man. United,Defender,93.6,280,263,50,2,1,8,5,76.16
24,Daniel Bragança,Sporting CP,Midfielder,93.6,66,61,0,0,0,2,5,56.16
24,Matheus Cunha,Atlético,Forward,93.6,19,17,0,0,0,0,5,56.16
27,Wijnaldum,Paris,Midfielder,93.4,97,89,0,0,0,3,5,56.04
27,Christensen,Chelsea,Defender,93.4,552,517,50,2,1,7,8,76.04
29,Kimpembe,Paris,Defender,93.3,376,352,0,0,0,15,7,55.98
29,Álvarez,Ajax,Midfielder,93.3,363,340,0,1,0,7,7,55.98
31,Witsel,Dortmund,Midfielder,93.2,311,294,0,0,0,6,6,55.92
32,Upamecano,Bayern,Defender,93.1,562,519,0,2,0,11,8,55.86
32,Thiago Silva,Chelsea,Defender,93.1,607,571,100,2,2,17,9,95.86
34,Verratti,Paris,Midfielder,93,436,403,0,2,0,14,5,55.8
34,Minamino,Liverpool,Forward,93,76,69,0,1,0,1,4,55.8
34,Vitão,Shakhtar Donetsk,Defender,93,73,68,0,0,0,3,1,55.8
37,Gavi,Barcelona,Midfielder,92.8,164,153,0,3,0,1,6,55.68
37,Piqué,Barcelona,Defender,92.8,288,269,0,0,0,2,5,55.68
37,Matviyenko,Shakhtar Donetsk,Defender,92.8,350,328,0,2,0,1,4,55.68
40,De Vrij,Inter,Defender,92.7,322,301,0,0,0,4,6,55.62
41,Rúben Dias,Man. City,Defender,92.6,464,431,0,0,0,8,8,55.56
42,Marquinhos,Paris,Defender,92.5,509,475,0,0,0,16,8,55.5
43,Wendel,Zenit,Midfielder,92.3,295,274,0,4,0,4,6,55.38
43,Alaba,Real Madrid,Defender,92.3,657,606,11,17,2,21,12,59.78
43,Rekik,Sevilla,Defender,92.3,93,86,0,2,0,5,4,55.38
46,Chistiakov,Zenit,Defender,92.2,209,196,0,0,0,4,5,55.32
46,Demiral,Atalanta,Defender,92.2,176,162,0,0,0,9,6,55.32
48,L. Hernández,Bayern,Defender,92,543,496,37,8,3,12,8,70
48,Orbán,Leipzig,Defender,92,194,176,0,0,0,6,4,55.2
48,Kryvtsov,Shakhtar Donetsk,Defender,92,167,153,0,0,0,4,3,55.2
48,Simakan,Leipzig,Defender,92,158,142,100,1,1,7,4,95.2
48,Steffen,Man. City,Goalkeeper,92,25,23,0,0,0,3,1,55.2
53,Kroos,Real Madrid,Midfielder,91.9,814,752,20,34,7,44,12,63.14
54,Thiago Alcántara,Liverpool,Midfielder,91.8,553,508,50,2,1,12,10,75.08
54,Aurier,Villarreal,Defender,91.8,66,58,0,2,0,0,5,55.08
56,Barrios,Zenit,Midfielder,91.7,306,282,0,2,0,8,6,55.02
57,Bernardo Silva,Man. City,Midfielder,91.6,462,427,23,17,4,5,11,64.16
57,Handanovič,Inter,Goalkeeper,91.6,253,230,0,0,0,7,8,54.96
59,Jorginho,Chelsea,Midfielder,91.5,519,477,50,4,2,12,8,74.9
59,Jordán,Sevilla,Midfielder,91.5,221,203,50,4,2,9,6,74.9
59,Bailly,Man. United,Defender,91.5,107,98,0,0,0,1,2,54.9
62,Gonçalo Inácio,Sporting CP,Defender,91.4,271,246,0,0,0,17,7,54.84
62,Škriniar,Inter,Defender,91.4,451,416,50,4,2,11,8,74.84
64,Kovačić,Chelsea,Midfielder,91.3,457,425,0,0,0,7,6,54.78
64,Pyatov,Shakhtar Donetsk,Goalkeeper,91.3,83,75,0,0,0,3,3,54.78
66,C. Martins Pereira,Young Boys,Midfielder,91.2,177,162,0,0,0,6,5,54.72
66,Marlos,Shakhtar Donetsk,Midfielder,91.2,126,110,50,4,2,2,6,74.72
68,Mendy,Real Madrid,Defender,91.1,413,376,25,12,3,4,10,64.66
69,Nacho,Real Madrid,Defender,91,304,283,16,6,1,5,9,61
70,Neuer,Bayern,Goalkeeper,90.9,352,318,0,0,0,8,9,54.54
71,Gündoğan,Man. City,Midfielder,90.8,406,367,33,15,5,7,10,67.68
71,Correa,Inter,Forward,90.8,27,24,0,1,0,0,5,54.48
73,Van Dijk,Liverpool,Defender,90.7,667,609,0,1,0,10,9,54.42
73,Luís Neto,Sporting CP,Defender,90.7,220,202,0,0,0,19,6,54.42
73,Kampl,Leipzig,Midfielder,90.7,180,165,33,3,1,2,3,67.62
73,D'Ambrosio,Inter,Defender,90.7,64,56,0,3,0,2,3,54.42
77,Brozović,Inter,Midfielder,90.6,559,506,75,8,6,26,8,84.36
78,Vidal,Inter,Midfielder,90.4,254,222,66,3,2,3,7,80.64
78,Hakimi,Paris,Defender,90.4,417,378,10,10,1,5,8,58.24
80,Rüdiger,Chelsea,Defender,90.3,750,681,0,4,0,12,9,54.18
80,James,Chelsea,Defender,90.3,359,324,30,23,7,14,6,66.18
80,Aké,Man. City,Defender,90.3,259,244,0,0,0,7,6,54.18
80,Schuurs,Ajax,Defender,90.3,111,99,0,0,0,6,3,54.18
80,Tătăruşanu,Milan,Goalkeeper,90.3,93,83,0,0,0,6,3,54.18
80,Jović,Real Madrid,Forward,90.3,40,36,0,0,0,0,3,54.18
80,Fabinho,Liverpool,Midfielder,90.3,595,549,0,2,0,9,13,54.18
87,Pavard,Bayern,Defender,90.2,676,613,33,12,4,10,10,67.32
87,McTominay,Man. United,Midfielder,90.2,217,197,0,0,0,10,5,54.12
87,Hudson-Odoi,Chelsea,Midfielder,90.2,149,134,40,10,4,0,5,70.12
87,Sarr,Bayern,Defender,90.2,72,62,25,4,1,0,5,64.12
87,Diego Carlos,Sevilla,Defender,90.2,414,374,0,0,0,11,6,54.12
87,Lauper,Young Boys,Midfielder,90.2,348,313,0,0,0,6,6,54.12
87,F. de Jong,Barcelona,Midfielder,90.2,346,312,0,1,0,8,6,54.12
87,Zabarnyi,Dynamo Kyiv,Defender,90.2,241,221,0,1,0,10,6,54.12
95,Koundé,Sevilla,Defender,90,343,311,0,0,0,11,5,54
95,Nico González,Barcelona,Midfielder,90,143,129,0,0,0,1,4,54
95,Solomon,Shakhtar Donetsk,Midfielder,90,136,123,0,5,0,0,5,54
95,Bürgy,Young Boys,Defender,90,130,117,0,0,0,5,2,54
95,Vida,Beşiktaş,Defender,90,99,90,0,0,0,4,2,54
95,Kuzyaev,Zenit,Midfielder,90,79,71,66,3,2,0,4,80.4
95,Sarr,Chelsea,Defender,90,71,68,0,0,0,0,2,54
95,Reinier,Dortmund,Forward,90,71,64,0,1,0,0,3,54
95,Andriyevskiy,Dynamo Kyiv,Midfielder,90,48,40,0,0,0,2,2,54
104,Ederson,Man. City,Goalkeeper,89.9,318,277,0,0,0,21,11,53.94
104,Messi,Paris,Forward,89.9,428,385,35,14,5,12,7,67.94
106,Modrić,Real Madrid,Midfielder,89.8,799,723,25,12,3,26,13,63.88
106,Kanté,Chelsea,Midfielder,89.8,274,245,50,4,2,3,6,73.88
106,Vitinha,Porto,Midfielder,89.8,142,127,0,11,0,6,6,53.88
106,Pongračić,Dortmund,Defender,89.8,89,78,0,0,0,4,5,53.88
110,Alisson Becker,Liverpool,Goalkeeper,89.7,461,415,0,0,0,16,13,53.82
110,Maguire,Man. United,Defender,89.7,346,311,0,2,0,16,6,53.82
110,Zappacosta,Atalanta,Defender,89.7,188,162,8,12,1,6,6,57.02
113,Danilo,Juventus,Defender,89.6,362,331,0,7,0,9,5,53.76
114,Kimmich,Bayern,Midfielder,89.5,688,616,35,48,17,31,8,67.7
114,Konaté,Liverpool,Defender,89.5,515,465,0,0,0,16,8,53.7
114,Innocent,Malmö,Midfielder,89.5,225,202,0,0,0,3,6,53.7
114,Sutormin,Zenit,Midfielder,89.5,160,145,33,6,2,4,4,66.9
118,Adams,Leipzig,Midfielder,89.4,166,146,0,1,0,0,5,53.64
119,Barkley,Chelsea,Midfielder,89.3,69,61,37,8,3,3,3,68.38
119,Bonucci,Juventus,Defender,89.3,434,391,0,0,0,15,7,53.58
119,Dimarco,Inter,Defender,89.3,158,138,29,37,11,10,7,65.18
119,Lenglet,Barcelona,Defender,89.3,304,274,0,1,0,7,4,53.58
123,Weigl,Benfica,Midfielder,89.1,351,316,0,3,0,8,9,53.46
123,Casemiro,Real Madrid,Midfielder,89.1,538,482,25,4,1,6,11,63.46
125,Bastoni,Inter,Defender,89,432,387,18,11,2,18,8,60.6
125,Sergio Busquets,Barcelona,Midfielder,89,382,340,0,0,0,16,6,53.4
125,Rabiot,Juventus,Midfielder,89,267,243,20,5,1,0,7,61.4
125,Mingueza,Barcelona,Defender,89,140,119,18,11,2,7,5,60.6
125,Toni Martínez,Porto,Forward,89,20,16,0,2,0,0,6,53.4
130,Lovren,Zenit,Defender,88.8,159,141,50,2,1,5,4,73.28
131,Gueye,Paris,Midfielder,88.7,209,190,33,3,1,2,7,66.42
131,Ter Stegen,Barcelona,Goalkeeper,88.7,213,188,0,0,0,12,6,53.22
131,Kjær,Milan,Defender,88.7,134,119,0,0,0,4,3,53.22
131,Mechele,Club Brugge,Defender,88.7,38,32,0,0,0,1,3,53.22
135,Fonte,LOSC,Defender,88.5,369,328,0,0,0,14,8,53.1
135,Morato,Benfica,Defender,88.5,134,121,0,0,0,2,2,53.1
135,Hutchinson,Beşiktaş,Midfielder,88.5,90,77,50,2,1,3,4,73.1
135,Krunić,Milan,Midfielder,88.5,90,77,0,0,0,1,4,53.1
139,Sterling,Man. City,Forward,88.4,206,185,12,8,1,1,12,57.84
140,Mbemba,Porto,Defender,88.2,215,192,100,2,2,10,5,92.92
140,Dodô,Shakhtar Donetsk,Defender,88.2,289,256,10,10,1,11,6,56.92
142,João Cancelo,Man. City,Defender,88,668,586,20,29,6,11,9,60.8
142,Pau Torres,Villarreal,Defender,88,506,457,0,0,0,16,12,52.8
142,Azpilicueta,Chelsea,Defender,88,491,434,15,19,3,3,9,58.8
142,Zinchenko,Man. City,Defender,88,356,314,23,13,3,4,8,62
142,Botman,LOSC,Defender,88,248,220,0,0,0,13,5,52.8
142,Varane,Man. United,Defender,88,245,222,0,0,0,6,5,52.8
142,Alex Telles,Man. United,Defender,88,179,164,21,33,7,12,4,61.2
142,Pedrinho,Shakhtar Donetsk,Midfielder,88,170,150,50,4,2,0,4,72.8
142,Neres,Ajax,Forward,88,104,91,57,7,4,0,5,75.6
142,Morton,Liverpool,Midfielder,88,76,67,0,0,0,2,2,52.8
142,Onana,Ajax,Goalkeeper,88,56,49,0,0,0,4,2,52.8
142,Hateboer,Atalanta,Defender,88,33,29,33,3,1,0,1,66
154,Keïta,Liverpool,Midfielder,87.9,354,313,0,4,0,5,10,52.74
155,Camavinga,Real Madrid,Midfielder,87.7,179,158,0,1,0,7,10,52.62
155,Demir,Barcelona,Midfielder,87.7,47,39,0,0,0,0,3,52.62
157,De Ligt,Juventus,Defender,87.6,346,307,100,1,1,8,7,92.56
158,Éder Militão,Real Madrid,Defender,87.5,643,563,0,2,0,17,12,52.5
158,Kobel,Dortmund,Goalkeeper,87.5,175,152,0,0,0,8,6,52.5
158,Lewicki,Malmö,Midfielder,87.5,62,54,0,1,0,0,2,52.5
161,Tomori,Milan,Defender,87.4,194,169,0,0,0,3,5,52.44
161,Gravenberch,Ajax,Midfielder,87.4,386,342,0,9,0,9,8,52.44
163,Shaparenko,Dynamo Kyiv,Midfielder,87.3,321,287,44,9,4,17,6,69.98
163,Carvajal,Real Madrid,Defender,87.3,576,503,34,23,8,11,11,65.98
165,Souza,Beşiktaş,Midfielder,87.2,267,237,0,1,0,13,5,52.32
165,Onguéné,Salzburg,Defender,87.2,242,213,0,0,0,10,5,52.32
165,Bernardeschi,Juventus,Midfielder,87.2,131,111,38,18,7,7,5,67.52
165,Capoue,Villarreal,Midfielder,87.2,491,438,50,2,1,4,12,72.32
165,Cuadrado,Juventus,Midfielder,87.2,256,226,32,28,9,3,7,65.12
165,Grealish,Man. City,Midfielder,87.2,243,214,40,5,2,3,7,68.32
165,Ronaldo,Man. United,Forward,87.2,204,179,60,5,3,4,7,76.32
172,Akanji,Dortmund,Defender,87,299,262,0,1,0,9,5,52.2
172,Sydorchuk,Dynamo Kyiv,Midfielder,87,297,262,0,1,0,13,6,52.2
172,Coates,Sporting CP,Defender,87,240,211,0,0,0,10,6,52.2
172,Camara,Young Boys,Defender,87,208,185,0,0,0,4,4,52.2
172,Dybala,Juventus,Forward,87,178,156,11,9,1,3,5,56.6
172,Zagadou,Dortmund,Defender,87,111,103,100,1,1,0,2,92.2
172,Pedri,Barcelona,Midfielder,87,103,90,0,1,0,2,2,52.2
179,Mazraoui,Ajax,Defender,86.9,385,338,36,19,7,7,8,66.54
179,Alex Sandro,Juventus,Defender,86.9,325,284,14,7,1,11,7,57.74
181,Bellingham,Dortmund,Midfielder,86.8,281,246,28,7,2,4,6,63.28
181,Sané,Bayern,Midfielder,86.8,398,346,26,19,5,8,10,62.48
